timestamp_iso,from_id,battery_percent,voltage_v
2026-03-16 10:53:54,!720472da,101,4.223
2026-03-16 10:54:56,!720472da,98,4.172
2026-03-16 10:55:58,!720472da,98,4.171
2026-03-16 10:56:56,!720472da,97,4.161
2026-03-16 11:33:25,!720472da,98,4.172
2026-03-16 11:34:25,!720472da,96,4.147
2026-03-16 11:35:25,!720472da,94,4.116
2026-03-16 11:36:28,!9ef0ca88,82,4.004
2026-03-16 11:36:33,!720472da,95,4.133
2026-03-16 11:37:22,!720472da,96,4.147
2026-03-16 11:38:25,!720472da,97,4.155
2026-03-16 11:39:24,!720472da,97,4.151
2026-03-16 11:40:27,!720472da,97,4.152
2026-03-16 11:41:24,!720472da,94,4.106
2026-03-16 11:42:26,!720472da,95,4.131
2026-03-16 11:43:25,!720472da,97,4.15
2026-03-16 11:44:24,!720472da,97,4.154
2026-03-16 11:45:24,!720472da,97,4.151
2026-03-16 11:54:41,!9ef0ca88,92,4.08
2026-03-16 12:12:35,!9ef0ca88,72,3.917
2026-03-16 12:30:31,!9ef0ca88,68,3.878
2026-03-16 12:48:30,!9ef0ca88,64,3.838
2026-03-16 13:06:31,!9ef0ca88,101,4.235
2026-03-16 13:24:31,!9ef0ca88,101,4.31
2026-03-16 13:42:31,!9ef0ca88,101,4.347
2026-03-16 14:00:33,!9ef0ca88,101,4.375
2026-03-16 14:18:33,!9ef0ca88,101,4.38
2026-03-16 14:36:30,!9ef0ca88,101,4.387
2026-03-16 14:54:33,!9ef0ca88,101,4.394
2026-03-16 15:39:06,!9ef0ca88,101,4.366
2026-03-16 15:40:16,!9ef0ca88,101,4.365
2026-03-16 15:49:20,!9ef0ca88,101,4.403
2026-03-16 15:59:11,!9ef0ca88,101,4.401
2026-03-16 16:01:11,!9ef0ca88,101,4.412
2026-03-16 16:03:14,!9ef0ca88,101,4.413
2026-03-16 16:07:47,!9eeff3a4,0,3.108
2026-03-16 16:09:47,!9eeff3a4,18,3.398
2026-03-16 16:11:47,!9eeff3a4,31,3.541
2026-03-16 16:13:47,!9eeff3a4,41,3.641
2026-03-16 16:15:47,!9eeff3a4,49,3.717
2026-03-16 16:17:48,!9eeff3a4,56,3.774
2026-03-16 16:19:47,!9eeff3a4,60,3.801
2026-03-16 16:21:48,!9eeff3a4,61,3.81
2026-03-16 16:23:47,!9eeff3a4,62,3.819
2026-03-16 16:25:47,!9eeff3a4,63,3.834
2026-03-16 16:27:47,!9eeff3a4,64,3.841
2026-03-16 16:29:48,!9eeff3a4,66,3.859
2026-03-16 16:31:47,!9eeff3a4,68,3.874
2026-03-16 16:33:47,!9eeff3a4,69,3.889
2026-03-16 16:40:17,!f67ccf53,101,4.142
2026-03-17 10:32:10 UTC,!9eeff3a4,Meshtastic f3a4,f3a4,101,4.252,2467,41m 7s
2026-03-17 10:33:50 UTC,!9eeff3a4,Meshtastic f3a4,f3a4,101,4.26,2587,43m 7s
