"date","time","from","sender name","sender lat","sender long","rx lat","rx long","rx elevation","rx snr","distance(m)","hop limit","payload"
"2026-05-03","16:54:28","363634937","Meshtastic a0f9","63.3948092","10.488042","","","","-17.5","","3","3"
"2026-05-03","16:54:29","363634937","Meshtastic a0f9","63.3948092","10.488042","","","","-15.25","","1","2"
"2026-05-03","16:54:43","363634937","Meshtastic a0f9","63.3948092","10.488042","","","","-11.25","","2","4"
"2026-05-03","16:54:46","363634937","Meshtastic a0f9","63.3948092","10.488042","","","","-10.75","","2","5"
"2026-05-03","16:54:51","363634937","Meshtastic a0f9","63.3948092","10.488042","","","","-12.75","","2","9"
"2026-05-03","16:54:53","363634937","Meshtastic a0f9","63.3948092","10.488042","","","","-14.5","","3","0"
"2026-05-03","16:54:57","363634937","Meshtastic a0f9","63.3948092","10.488042","","","","-15.25","","2","6"
"2026-05-03","16:54:58","363634937","Meshtastic a0f9","63.3948092","10.488042","","","","-15.25","","3","1"
"2026-05-03","16:55:00","363634937","Meshtastic a0f9","63.3948092","10.488042","","","","-14.75","","3","2"
"2026-05-03","16:55:04","363634937","Meshtastic a0f9","63.3948092","10.488042","","","","-11.0","","2","7"
"2026-05-03","16:55:05","363634937","Meshtastic a0f9","63.3948092","10.488042","","","","-16.75","","3","3"
"2026-05-03","16:55:08","363634937","Meshtastic a0f9","63.3948092","10.488042","","","","-16.5","","3","4"
"2026-05-03","16:55:11","363634937","Meshtastic a0f9","63.3948092","10.488042","","","","-16.5","","3","5"
"2026-05-03","16:55:27","363634937","Meshtastic a0f9","63.3948092","10.488042","63.3974906","10.4732905","236","-7.75","793","2","6"
"2026-05-03","16:55:33","363634937","Meshtastic a0f9","63.3948092","10.488042","63.3974906","10.4732905","236","-18.0","793","3","8"
"2026-05-03","16:55:37","363634937","Meshtastic a0f9","63.3948092","10.488042","63.3974906","10.4732905","236","-19.75","793","2","7"
"2026-05-03","16:55:54","363634937","Meshtastic a0f9","63.3948092","10.488042","63.3974906","10.4732905","236","-18.0","793","1","9"
"2026-05-03","16:55:59","363634937","Meshtastic a0f9","63.3948092","10.488042","63.3974906","10.4732905","236","-6.25","793","2","0"
"2026-05-03","16:56:05","363634937","Meshtastic a0f9","63.3948092","10.488042","63.3974906","10.4732905","236","-13.25","793","3","2"
"2026-05-03","16:56:12","363634937","Meshtastic a0f9","63.3948092","10.488042","63.3974906","10.4732905","236","-18.0","793","3","3"
